,HeavyAtomCount,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteratoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumAliphaticHeterocycles,RingCount,MW,LogP,MR,TPSA
256,23,1,4,5,1,5,8,124,2,1,3,3,4.0100000000000025,96.28570000000006,37.39
257,23,0,6,5,0,8,2,120,2,1,3,3,2.0693,75.30500000000002,64.43
258,23,0,6,4,0,7,2,116,2,1,3,3,2.5477000000000007,83.41240000000002,75.81
259,23,1,5,4,1,5,2,122,2,2,4,4,2.3184000000000005,90.39220000000006,50.160000000000004
260,24,1,4,4,1,6,2,120,3,1,4,4,3.508100000000002,90.23980000000003,50.41
261,24,1,4,4,1,6,1,120,3,1,4,4,3.815120000000002,90.30980000000002,50.41
262,24,3,6,5,3,6,10,134,1,0,1,1,2.3655,94.62470000000005,87.66
263,24,1,4,4,1,4,8,128,2,1,3,3,3.948500000000003,98.40870000000005,37.39
264,24,0,6,5,0,8,4,126,2,1,3,3,2.1134000000000004,80.19400000000003,64.43
265,25,0,7,6,0,8,2,128,3,1,4,4,3.2847000000000017,91.75250000000003,77.05
266,25,0,3,2,0,3,6,132,2,1,3,3,4.136700000000003,103.82700000000006,23.550000000000004
267,25,1,5,4,1,6,4,128,3,0,3,3,3.9273200000000026,95.74730000000005,68.53
268,26,1,4,3,1,4,8,138,2,1,3,3,3.871400000000003,104.45720000000004,41.57
269,26,0,6,5,0,7,1,136,2,2,4,4,3.8808000000000034,99.44400000000005,64.43
270,26,1,3,3,1,5,6,138,2,1,3,3,4.5347000000000035,103.67730000000003,40.54
271,26,1,8,7,1,9,2,134,3,1,4,4,2.3887000000000005,92.90830000000003,97.28
272,26,0,5,4,0,8,6,144,1,2,3,3,2.625000000000001,92.94000000000007,39.68000000000001
273,26,1,3,3,1,5,6,138,2,1,3,3,4.425600000000004,100.98730000000005,40.54
274,26,1,4,4,1,5,8,140,2,1,3,3,3.055900000000001,105.65480000000005,35.940000000000005
275,26,2,3,3,2,9,2,142,2,1,3,3,4.447900000000003,82.34850000000003,45.150000000000006
276,26,0,3,4,0,5,4,138,2,2,4,4,4.901100000000005,111.23140000000005,23.55
277,27,1,5,4,1,6,8,144,2,1,3,3,3.1482000000000028,106.20480000000005,53.01
278,27,2,9,8,2,10,3,140,3,1,4,4,1.3611000000000002,94.32010000000002,117.51000000000002
279,27,1,5,5,1,5,8,142,3,1,4,4,4.6947000000000045,108.18070000000004,50.53
280,28,0,7,6,0,7,6,152,1,2,4,4,2.0881999999999996,106.77400000000004,69.64000000000001
281,28,0,4,4,0,4,6,148,2,1,4,4,4.361100000000004,110.13050000000004,38.769999999999996
282,28,2,7,6,2,7,9,146,3,0,3,3,2.902520000000001,108.85440000000003,92.79
283,29,1,3,2,1,3,5,144,4,0,4,4,6.091320000000005,118.85620000000003,41.99
284,29,0,4,5,0,5,7,154,2,2,4,4,4.9096000000000055,121.80550000000008,26.790000000000006
285,29,0,5,5,0,7,6,154,2,2,4,4,4.086300000000003,125.56350000000003,43.86
286,29,2,7,7,2,8,10,154,3,0,3,3,3.064020000000001,117.38840000000005,87.05
287,30,2,7,5,2,8,5,156,4,1,5,5,3.353200000000001,119.45540000000003,78.82
288,30,2,7,6,2,8,6,160,2,2,4,4,1.5098000000000003,110.82500000000005,74.27000000000001
289,31,1,7,7,1,8,4,164,3,2,5,5,2.5612200000000005,113.64780000000005,84.39
290,31,0,5,4,0,7,6,164,2,2,4,4,4.321800000000004,122.62750000000004,43.86
291,32,2,6,6,2,7,10,166,4,0,4,4,4.513800000000003,132.36239999999995,74.16
292,32,0,5,4,0,7,7,170,2,2,4,4,4.711900000000004,127.24450000000006,43.86
293,32,2,4,3,1,4,7,164,3,2,5,5,3.9575000000000022,126.75040000000006,55.56
294,34,2,4,3,2,4,1,190,0,0,5,5,6.412600000000007,133.07160000000005,74.6
295,35,4,9,7,3,10,11,192,2,1,3,3,2.4028,133.23270000000002,131.19000000000003
296,36,6,15,15,5,19,9,192,2,2,4,4,-2.3441999999999954,127.87250000000006,223.08999999999997
